page,order,line,tag,label,classes,headings,text_count,images
blog_details.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,24,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg | assets/images/icons/icon_calling.svg
blog_details.html,2,165,section,section.page_header.text-center.bg-dark.section_decoration,page_header text-center bg-dark section_decoration overflow-hidden,h1: Blog Details,3,assets/images/backgrounds/page_header_bg_1.webp | assets/images/shapes/shape_nate.svg | assets/images/shapes/shape_dollar_1.webp | assets/images/shapes/shape_dollar_2.webp | assets/images/shapes/shape_dollar_3.webp | assets/images/shapes/shape_dollar_4.webp | assets/images/shapes/breadcrumb_shape_pattern_1.svg | assets/images/shapes/breadcrumb_shape_pattern_2.svg
blog_details.html,3,200,section,section.blog_details_section.section_space.bg-light,blog_details_section section_space bg-light,h2: Tax Planning Made Easy Expert Tips to Minimize Your Tax Burden and Maximize Savings. | h3: Practical Advice for Financial Freedom Finances Strategies for Effective Tax Management. | h3: Sample Heading | h3: 3 Reasons to investing at this moment | h4: About Anderson | h3: Comments (3) | h4: John Smith | h4: Daniel Garcia | h4: John Smith | h4: John Smith | h3: Leave a reply | h3: Search | h3: Categories | h3: Recent Posts | h3: Tags,94,assets/images/blogs/blog_details_image_1.webp | assets/images/icons/icon_tag.svg | assets/images/icons/icon_calendar.svg | assets/images/icons/icon_user.svg | assets/images/icons/icon_comment.svg | assets/images/icons/icon_eye.svg | assets/images/icons/icon_link.svg | assets/images/icons/icon_bookmark.svg | assets/images/blogs/blog_image_10.webp | assets/images/blogs/blog_image_11.webp | assets/images/blogs/blog_image_12.webp | assets/images/avatar/avatar_image_7.webp | assets/images/avatar/avatar_image_8.webp | assets/images/avatar/avatar_image_9.webp | assets/images/avatar/avatar_image_10.webp | assets/images/icons/icon_search_2.svg | assets/images/blogs/recent_blog_post_image_1.webp | assets/images/blogs/recent_blog_post_image_2.webp | assets/images/blogs/recent_blog_post_image_3.webp
blog_details.html,4,724,footer,footer.site_footer.footer_layout_1.bg-dark.section_decoration,site_footer footer_layout_1 bg-dark section_decoration,h2: Subscribe for daily update | h3: Quick LInk | h3: Information | h3: Download App,20,assets/images/icons/icon_email.svg | assets/images/site_logo/site_logo_white.svg | assets/images/icons/icon_calling_2.svg | assets/images/icons/icon_email_2.svg | assets/images/app_store.webp | assets/images/google_play.webp | assets/images/shapes/shape_finto.svg | assets/images/shapes/shape_nate_2.svg | assets/images/shapes/shape_dollar_5.webp | assets/images/shapes/shape_dollar_3.webp
blog.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,24,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg | assets/images/icons/icon_calling.svg
blog.html,2,165,section,section.page_header.text-center.bg-dark.section_decoration,page_header text-center bg-dark section_decoration overflow-hidden,h1: Blog,3,assets/images/backgrounds/page_header_bg_1.webp | assets/images/shapes/shape_nate.svg | assets/images/shapes/shape_dollar_1.webp | assets/images/shapes/shape_dollar_2.webp | assets/images/shapes/shape_dollar_3.webp | assets/images/shapes/shape_dollar_4.webp | assets/images/shapes/breadcrumb_shape_pattern_1.svg | assets/images/shapes/breadcrumb_shape_pattern_2.svg
blog.html,3,200,section,section.blog_section.section_space,blog_section section_space,h3: Comprehensive Guidance and Tactics from to Empower. | h3: Tax Planning Made Easy Expert Tips to Minimize Your Tax. | h3: Maximizing Strategies Effective for Wealth Management. | h3: Comprehensive Financial and Forward-Thinking Strategies. | h3: Expert Tips and Proven Strategies by Finto to Safeguard Your. | h3: Investing in Your Child's for Future Save for Education Expenses. | h3: Valuable Insights and Expert from to Propel Your Investment. | h3: Maximizing Your Wealth Potential Strategies by Finto. | h3: Actionable Steps and Tailored Solutions from to Accelerate.,36,assets/images/blogs/blog_image_1.webp | assets/images/icons/icon_tag.svg | assets/images/icons/icon_calendar.svg | assets/images/blogs/blog_image_2.webp | assets/images/blogs/blog_image_3.webp | assets/images/blogs/blog_image_4.webp | assets/images/blogs/blog_image_5.webp | assets/images/blogs/blog_image_6.webp | assets/images/blogs/blog_image_7.webp | assets/images/blogs/blog_image_8.webp | assets/images/blogs/blog_image_9.webp
blog.html,4,557,footer,footer.site_footer.footer_layout_1.bg-dark.section_decoration,site_footer footer_layout_1 bg-dark section_decoration,h2: Subscribe for daily update | h3: Quick LInk | h3: Information | h3: Download App,20,assets/images/icons/icon_email.svg | assets/images/site_logo/site_logo_white.svg | assets/images/icons/icon_calling_2.svg | assets/images/icons/icon_email_2.svg | assets/images/app_store.webp | assets/images/google_play.webp | assets/images/shapes/shape_finto.svg | assets/images/shapes/shape_nate_2.svg | assets/images/shapes/shape_dollar_5.webp | assets/images/shapes/shape_dollar_3.webp
career_details.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,24,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg | assets/images/icons/icon_calling.svg
career_details.html,2,165,section,section.page_header.text-center.bg-dark.section_decoration,page_header text-center bg-dark section_decoration overflow-hidden,h1: Career Details,3,assets/images/backgrounds/page_header_bg_1.webp | assets/images/shapes/shape_nate.svg | assets/images/shapes/shape_dollar_1.webp | assets/images/shapes/shape_dollar_2.webp | assets/images/shapes/shape_dollar_3.webp | assets/images/shapes/shape_dollar_4.webp | assets/images/shapes/breadcrumb_shape_pattern_1.svg | assets/images/shapes/breadcrumb_shape_pattern_2.svg
career_details.html,3,200,section,section.career_details_section.section_space.pb-0,career_details_section section_space pb-0,h2: Technical Project Manager - (Full-Time) | h3: What you'll get to do... | h3: Your experience should include... | h3: You might also have... | h3: Great Benefits...,50,
career_details.html,4,492,section,section.job_apply_section.section_space,job_apply_section section_space,h3: Apply for This Job,12,
career_details.html,5,566,footer,footer.site_footer.footer_layout_1.bg-dark.section_decoration,site_footer footer_layout_1 bg-dark section_decoration,h2: Subscribe for daily update | h3: Quick LInk | h3: Information | h3: Download App,20,assets/images/icons/icon_email.svg | assets/images/site_logo/site_logo_white.svg | assets/images/icons/icon_calling_2.svg | assets/images/icons/icon_email_2.svg | assets/images/app_store.webp | assets/images/google_play.webp | assets/images/shapes/shape_finto.svg | assets/images/shapes/shape_nate_2.svg | assets/images/shapes/shape_dollar_5.webp | assets/images/shapes/shape_dollar_3.webp
career.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,24,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg | assets/images/icons/icon_calling.svg
career.html,2,165,section,section.page_header.text-center.bg-dark.section_decoration,page_header text-center bg-dark section_decoration overflow-hidden,h1: Career,3,assets/images/backgrounds/page_header_bg_1.webp | assets/images/shapes/shape_nate.svg | assets/images/shapes/shape_dollar_1.webp | assets/images/shapes/shape_dollar_2.webp | assets/images/shapes/shape_dollar_3.webp | assets/images/shapes/shape_dollar_4.webp | assets/images/shapes/breadcrumb_shape_pattern_1.svg | assets/images/shapes/breadcrumb_shape_pattern_2.svg
career.html,3,200,section,section.career_section.section_space.bg-light,career_section section_space bg-light,h2: Your Career Starts Here | h3: Customer Success Manager | h3: Technical Project Manager | h3: Cybersecurity Analyst | h3: Systems Administrator | h3: Marketing Lead | h3: Marketing Administrator,31,
career.html,4,381,footer,footer.site_footer.footer_layout_1.bg-dark.section_decoration,site_footer footer_layout_1 bg-dark section_decoration,h2: Subscribe for daily update | h3: Quick LInk | h3: Information | h3: Download App,20,assets/images/icons/icon_email.svg | assets/images/site_logo/site_logo_white.svg | assets/images/icons/icon_calling_2.svg | assets/images/icons/icon_email_2.svg | assets/images/app_store.webp | assets/images/google_play.webp | assets/images/shapes/shape_finto.svg | assets/images/shapes/shape_nate_2.svg | assets/images/shapes/shape_dollar_5.webp | assets/images/shapes/shape_dollar_3.webp
contact.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,24,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg | assets/images/icons/icon_calling.svg
contact.html,2,165,section,section.page_header.text-center.bg-dark.section_decoration,page_header text-center bg-dark section_decoration overflow-hidden,h1: Contact Us,3,assets/images/backgrounds/page_header_bg_1.webp | assets/images/shapes/shape_nate.svg | assets/images/shapes/shape_dollar_1.webp | assets/images/shapes/shape_dollar_2.webp | assets/images/shapes/shape_dollar_3.webp | assets/images/shapes/shape_dollar_4.webp | assets/images/shapes/breadcrumb_shape_pattern_1.svg | assets/images/shapes/breadcrumb_shape_pattern_2.svg
contact.html,3,200,section,section.contact_section.section_space.bg-light,contact_section section_space bg-light,h2: Send us a Message | h3: Contact Info,17,assets/images/icons/icon_calling_3.svg | assets/images/icons/icon_email_3.svg
contact.html,4,322,footer,footer.site_footer.footer_layout_1.bg-dark.section_decoration,site_footer footer_layout_1 bg-dark section_decoration,h2: Subscribe for daily update | h3: Quick LInk | h3: Information | h3: Download App,20,assets/images/icons/icon_email.svg | assets/images/site_logo/site_logo_white.svg | assets/images/icons/icon_calling_2.svg | assets/images/icons/icon_email_2.svg | assets/images/app_store.webp | assets/images/google_play.webp | assets/images/shapes/shape_finto.svg | assets/images/shapes/shape_nate_2.svg | assets/images/shapes/shape_dollar_5.webp | assets/images/shapes/shape_dollar_3.webp
error.html,1,52,section,section.error_section.text-center.section_decoration,error_section text-center section_decoration,h1: Hi 👋 Sorry We Can’t Find That Page!,3,assets/images/404_error_image.webp | assets/images/icons/icon_search_2.svg | assets/images/shapes/shape_dollar_1.webp | assets/images/shapes/shape_dollar_2.webp | assets/images/shapes/shape_dollar_3.webp | assets/images/shapes/shape_dollar_4.webp
index_car_insurance.html,1,56,header,header.site_header.header_layout_3,site_header header_layout_3,,24,assets/images/site_logo/site_logo_black_2.svg | assets/images/icons/icon_calling_7.svg
index_car_insurance.html,2,164,section,section.hero_section.hero_car_insurance.bg-primary.section_decoration,hero_section hero_car_insurance bg-primary section_decoration,h1: Elevate Your Drive with Trusted Car Insurance! | h3: Get a Free Quote Now,16,assets/images/shapes/shape_car_path_1.png | assets/images/hero/car.png | assets/images/clients/client_logo_30.webp | assets/images/clients/client_logo_31.webp | assets/images/shapes/shape_nate_36.svg
index_car_insurance.html,3,249,section,section.car_process_section.section_space.section_decoration,car_process_section section_space section_decoration,h2: Get Insured In 3 Easy Steps | h3: Create Your Account | h3: Choose The Best Car | h3: Manage Your Policy,7,assets/images/icons/icon_phone.svg | assets/images/icons/icon_car_2.svg | assets/images/icons/icon_doc_2.svg | assets/images/shapes/shape_nate_37.svg | assets/images/shapes/shape_nate_38.svg
index_car_insurance.html,4,312,section,section.car_insurance_feature_section.section_space.pb-0.section_decoration,car_insurance_feature_section section_space pb-0 section_decoration bg-gradient bg-primary,h2: That Makes Us the Best Car Insurance Provider,14,assets/images/icons/icon_check_3.svg | assets/images/icons/icon_close.svg | assets/images/shapes/shape_car_path_2.webp | assets/images/shapes/shape_car_path_3.webp
index_car_insurance.html,5,524,section,section.car_insurance_cta_section.section_decoration.bg-gradient.bg-primary,car_insurance_cta_section section_decoration bg-gradient bg-primary,h3: Do it Yourself | h3: Full Service,18,assets/images/about/about_image_10.webp | assets/images/clients/client_logo_32.webp | assets/images/clients/client_logo_33.webp | assets/images/clients/client_logo_34.webp | assets/images/clients/client_logo_35.webp | assets/images/about/about_image_11.webp | assets/images/icons/icon_chat_2.svg | assets/images/avatar/avatar_image_8.webp | assets/images/shapes/shape_nate_38.svg | assets/images/shapes/shape_nate_39.svg
index_car_insurance.html,6,622,section,section.review_section.section_space.section_decoration.bg-primary,review_section section_space section_decoration bg-primary,h2: Highly rated 4.9 out of 5 by 1200+ entrepreneurs just like synox | h3: Reynolds Anthony | h3: Tomasz Adam | h3: Reynolds Anthony | h3: Tomasz Adam | h3: Reynolds Anthony | h3: Tomasz Adam | h3: Tomasz Adam | h3: Tomasz Adam | h3: Tomasz Adam | h3: Piotr Łukasz | h3: Eleanor Emily | h3: Piotr Łukasz | h3: Eleanor Emily | h3: Piotr Łukasz | h3: Eleanor Emily | h3: Eleanor Emily | h3: Eleanor Emily | h3: Eleanor Emily,60,assets/images/clients/client_logo_9.webp | assets/images/clients/client_logo_36.webp | assets/images/avatar/avatar_image_1.webp | assets/images/avatar/avatar_image_2.webp | assets/images/avatar/avatar_image_3.webp | assets/images/avatar/avatar_image_4.webp | assets/images/shapes/shape_car_path_2.webp | assets/images/shapes/shape_car_path_3.webp | assets/images/shapes/shape_nate_36.svg
index_car_insurance.html,7,999,section,section.blog_section.section_space.section_decoration,blog_section section_space section_decoration,h2: Our Latest Article | h3: Subscription Billing Simplifying Recurring Payments for. | h3: Global Payment Trends Adapting to the Changing Landscape. | h3: The Role of Blockchain Technology in Payment Solutions.,11,assets/images/blogs/blog_image_19.webp | assets/images/blogs/blog_image_20.webp | assets/images/blogs/blog_image_21.webp
index_car_insurance.html,8,1110,footer,footer.site_footer.footer_layout_6.bg-secondary.section_space,site_footer footer_layout_6 bg-secondary section_space pb-0 section_decoration,h2: Download and Enjoy the Experience | h3: Write to Us | h3: Call Us | h3: Useful Links | h3: Useful Links,22,assets/images/shapes/shape_nate_40.svg | assets/images/site_logo/site_logo_white_2.svg | assets/images/about/hand_image.webp | assets/images/icons/icon_email_4.svg | assets/images/shapes/shape_car_path_4.webp | assets/images/shapes/shape_car_path_5.webp
index_financial_consulting.html,1,56,header,header.site_header.header_layout_2,site_header header_layout_2,,31,assets/images/site_logo/site_logo_black_3.svg | assets/images/icons/icon_calling_4.svg | assets/images/flags/flag_usa.webp | assets/images/flags/flag_saudi_arabia.webp | assets/images/flags/flag_bangladesh.webp | assets/images/flags/flag_portugal.webp
index_financial_consulting.html,2,216,section,section.offcanvas_wrapper,offcanvas_wrapper,h2: Your Path to Financial Success Starts Here | h3: Need Help? | h3: Social Networks,7,assets/images/icons/icon_calling_4.svg | assets/images/icons/icon_mail.svg
index_financial_consulting.html,3,277,section,section.container-fluid,container-fluid,h1: Your Path to Financial Success Starts Here,5,assets/images/backgrounds/hero_bg_pattern_1.webp | assets/images/hero/hero_image_2.webp
index_financial_consulting.html,4,401,section,section.about_section.section_space.section_decoration.pb-0,about_section section_space section_decoration pb-0,h2: Building Trust Through Financial Expertise | h4: Year of Experience. | h4: Happy Clients. | h4: Projects Succeed.,18,assets/images/icons/icon_check_2.svg | assets/images/about/about_image_4.webp | assets/images/shapes/shape_nate_3.svg | assets/images/shapes/shape_nate_4.svg
index_financial_consulting.html,5,493,section,section.service_section.section_space.section_decoration,service_section section_space section_decoration,h2: We can help you with | h3: Corporate Finance Advisory | h3: Business Financial Consulting | h3: Education Funding Planning | h3: Insurance Planning and Analysis | h3: Investment Management Solutions | h3: Retirement Planning Services,15,assets/images/icons/icon_cog.svg | assets/images/icons/icon_dollar_4.svg | assets/images/icons/icon_dollar_5.svg | assets/images/icons/icon_dollar_6.svg | assets/images/icons/icon_hand.svg | assets/images/icons/icon_chair.svg
index_financial_consulting.html,6,626,section,section.team_section.section_space.pt-0,team_section section_space pt-0,h2: Meet Our Consultant | h3: Pavlo Bohdan | h3: Emma Sophia | h3: Serhiy Yaroslav | h3: Jordan Eugenio,11,assets/images/team/team_member_image_5.webp | assets/images/team/team_member_image_6.webp | assets/images/team/team_member_image_7.webp | assets/images/team/team_member_image_8.webp
index_financial_consulting.html,7,767,section,section.portfolio_section,portfolio_section,h2: Our some Completed project list,12,assets/images/projects/project_image_8.webp | assets/images/projects/project_image_9.webp | assets/images/projects/project_image_10.webp | assets/images/projects/project_image_11.webp
index_financial_consulting.html,8,862,section,section.pricing_section.section_space.section_decoration,pricing_section section_space section_decoration,h2: We Offered Best Pricing | h3: Basic plan: Financial Assessment | h3: Featured Include: | h3: Team plan: Personalized Financial Plan | h3: Featured Include: | h3: Enterprise plan: Ongoing Support and Review | h3: Featured Include:,41,assets/images/shapes/shape_nate_3.svg | assets/images/shapes/shape_nate_4.svg
index_financial_consulting.html,9,1055,section,section.review_section.section_space.pt-0,review_section section_space pt-0,h2: What Clients Say About Us | h3: Hawthorn Sage | h3: Rosemary Violet | h3: Reynolds anthony | h3: Hawthorn Sage | h3: Rosemary Violet | h3: Reynolds anthony,20,assets/images/shapes/shape_pattern_4.svg | assets/images/icons/icon_quote.svg | assets/images/avatar/avatar_image_1.webp | assets/images/avatar/avatar_image_3.webp | assets/images/avatar/avatar_image_2.webp
index_financial_consulting.html,10,1193,section,section.contact_section,contact_section,h3: Build a career at Synox! | h3: Do you have questions or went more information?,7,assets/images/about/about_image_5.webp | assets/images/icons/icon_target.svg | assets/images/icons/icon_mail.svg | assets/images/about/about_image_6.webp
index_financial_consulting.html,11,1284,section,section.blog_section.section_space.section_decoration,blog_section section_space section_decoration,h2: Our Latest Updates | h3: Maximizing Strategies Effective for Wealth Management.. | h3: Tax Planning Made Easy Expert Tips to Minimize Your Tax.. | h3: Investing in Your Child's for Future Save for Education Expenses..,14,assets/images/blogs/blog_image_16.webp | assets/images/icons/icon_tag.svg | assets/images/icons/icon_calendar.svg | assets/images/blogs/blog_image_17.webp | assets/images/blogs/blog_image_18.webp | assets/images/shapes/shape_nate_3.svg | assets/images/shapes/shape_nate_4.svg
index_financial_consulting.html,12,1436,footer,footer.site_footer.footer_layout_4.section_decoration,site_footer footer_layout_4 section_decoration,h2: Shall We Discuss Your Task? | h3: Write to us | h3: Call Us (USA) | h3: Our Office | h2: Subscribe to The Free Newsletter to Receive The Latest News | h3: Quick Links | h3: Useful Links | h3: Our Services | h3: Sales Info,37,assets/images/icons/icon_email.svg | assets/images/icons/icon_calling_5.svg | assets/images/icons/icon_map_mark.svg | assets/images/backgrounds/newslatter_bg_image_1.webp | assets/images/shapes/shape_nate_3.svg
index_insurance.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,25,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg | assets/images/icons/icon_calling.svg
index_insurance.html,2,173,section,section.hero_section.hero_insurance.bg-dark.section_decoration,hero_section hero_insurance bg-dark section_decoration,h1: Insurance Plans for Life's Journey | h3: Financial Protection | h3: Online Payments,10,assets/images/icons/icon_money_bag.svg | assets/images/icons/icon_mobile_network.svg | assets/images/hero/hero_image_3.webp | assets/images/shapes/shape_pattern_5.svg | assets/images/shapes/shape_pattern_6.svg | assets/images/shapes/shape_nate_28.svg | assets/images/shapes/shape_nate_29.svg
index_insurance.html,3,266,section,section.about_section.section_space.pb-0,about_section section_space pb-0,h2: Our Ultimate Insurance Solution Provider | h3: Advice you can count on | h3: No Salespeople | h3: No Spam Ever | h3: 30 Min Consultation | h3: It’s Free,14,assets/images/about/about_image_7.webp | assets/images/icons/icon_user_2.svg | assets/images/icons/icon_trush_bin.svg | assets/images/icons/icon_support.svg | assets/images/icons/icon_tag_2.svg
index_insurance.html,4,361,section,section.service_section.section_space,service_section section_space,h2: Get the Coverage you Need. | h3: Car Insurance | h3: Home Insurance | h3: Pet Insurance | h3: Life Insurance | h3: Travel Insurance | h3: Personal Loans | h3: Business Insurance,23,assets/images/shapes/shape_circle.svg | assets/images/icons/icon_car.svg | assets/images/icons/icon_house.svg | assets/images/icons/icon_dog.svg | assets/images/icons/icon_heart.svg | assets/images/icons/icon_umbrella.svg | assets/images/icons/icon_hand_2.svg | assets/images/icons/icon_diamond.svg
index_insurance.html,5,599,section,section.funfact_section,funfact_section,h2: Get the Coverage you Need. | h3: Gave Insurance | h3: Satisfied Customer | h3: Professional Team | h3: Our Success Rate,13,assets/images/icons/icon_umbrella_2.svg | assets/images/icons/icon_medal_2.svg | assets/images/about/about_image_8.webp
index_insurance.html,6,659,section,section.review_section.section_space.section_decoration,review_section section_space section_decoration,h2: Highly rated 4.9 out of 5 by 1200+ entrepreneurs just like synox | h3: Reynolds Anthony | h3: Tomasz Adam | h3: Reynolds Anthony | h3: Tomasz Adam | h3: Reynolds Anthony | h3: Tomasz Adam | h3: Tomasz Adam | h3: Tomasz Adam | h3: Tomasz Adam | h3: Piotr Łukasz | h3: Eleanor Emily | h3: Piotr Łukasz | h3: Eleanor Emily | h3: Piotr Łukasz | h3: Eleanor Emily | h3: Eleanor Emily | h3: Eleanor Emily | h3: Eleanor Emily,61,assets/images/clients/client_logo_26.webp | assets/images/clients/client_logo_10.webp | assets/images/avatar/avatar_image_1.webp | assets/images/avatar/avatar_image_2.webp | assets/images/avatar/avatar_image_3.webp | assets/images/avatar/avatar_image_4.webp | assets/images/icons/icon_star_2.svg | assets/images/icons/icon_star_1.svg | assets/images/shapes/shape_arrow_3.webp
index_insurance.html,7,1038,section,section.client_feedback_section.section_space.section_decoration.bg-light,client_feedback_section section_space section_decoration bg-light parallaxie,h2: Understand Your Policy,18,assets/images/backgrounds/background_image_1.webp | assets/images/shapes/shape_nate_30.svg | assets/images/icons/icon_star_1.svg | assets/images/icons/icon_star_2.svg | assets/images/shapes/shape_arrow_4.webp
index_insurance.html,8,1116,section,section.team_section.section_space.pb-0,team_section section_space pb-0,h2: Certified Professionals | h3: Kacper Mateusz | h3: Charlotte Amelia | h3: Serhiy Yaroslav | h3: Pavlo Bohdan | h3: Emma Sophia | h3: Jordan Eugenio,18,assets/images/team/team_member_image_9.webp | assets/images/team/team_member_image_10.webp | assets/images/team/team_member_image_11.webp | assets/images/team/team_member_image_12.webp | assets/images/team/team_member_image_13.webp | assets/images/team/team_member_image_14.webp
index_insurance.html,9,1330,section,section.clients_section.section_space,clients_section section_space,h2: Trusted for overall simplicity,2,assets/images/clients/brand_01.png | assets/images/clients/brand_02.png | assets/images/clients/brand_03.png | assets/images/clients/brand_04.png | assets/images/clients/brand_05.png | assets/images/clients/brand_06.png | assets/images/clients/brand_07.png | assets/images/clients/brand_08.png | assets/images/clients/brand_09.png | assets/images/clients/brand_10.png
index_insurance.html,10,1411,section,section.contact_section.section_space.pb-0,contact_section section_space pb-0,h2: Need a hand? we’ve got you | h3: New to Synox? | h3: Any Questions? | h3: Prefer Writing? | h3: Need Advice? | h3: Already a customer?,16,assets/images/site_logo/ins_favicon.png | assets/images/icons/icon_calling_6.svg | assets/images/icons/icon_sms_edit.svg | assets/images/icons/icon_messages.svg | assets/images/about/about_image_9.webp
index_insurance.html,11,1509,section,section.faq_section.section_space,faq_section section_space,h2: Have a Question? Look Here,10,
index_insurance.html,12,1609,footer,footer.site_footer.footer_layout_5.bg-dark.section_decoration,site_footer footer_layout_5 bg-dark section_decoration,h3: Call Us Anytime - 24/7 | h3: Download App | h3: Our Company | h3: Insurance | h3: Quick Links | h3: General,30,assets/images/icons/icon_calling.svg | assets/images/app_store.webp | assets/images/google_play.webp | assets/images/shapes/shape_nate_34.svg | assets/images/shapes/shape_nate_35.svg | assets/images/shapes/shape_pattern_5.svg | assets/images/shapes/shape_pattern_7.svg
index_online_banking.html,1,56,header,header.site_header.header_layout_1,site_header header_layout_1,,24,assets/images/site_logo/site_logo_white.svg | assets/images/site_logo/site_logo_black.svg
index_online_banking.html,2,165,section,section.hero_section.hero_online_banking.overflow-hidden.section_decoration,hero_section hero_online_banking overflow-hidden section_decoration bg-dark,h1: The Premier Finto Online Banking,7,assets/images/backgrounds/hero_bg_noise.webp | assets/images/hero/hero_pattern.svg | assets/images/hero/hero_shape_1.svg | assets/images/hero/hero_hand_image.png | assets/images/hero/card.png | assets/images/clients/client_logo_2.webp | assets/images/clients/client_logo_3.webp | assets/images/clients/client_logo_4.webp | assets/images/clients/client_logo_5.webp | assets/images/clients/client_logo_6.webp | assets/images/clients/client_logo_7.webp | assets/images/clients/client_logo_8.webp | assets/images/icons/icon_star_4.svg | assets/images/icons/icon_star_3.svg | assets/images/shapes/shape_circle_2.svg
